# http://www.heliodyane.com/products_systems/control_units/SAS-10-RT.pdf
#Resistance(Ohm) Temperature(C)
32650.0 0
31738.2 0.555555556
30854.8 1.111111111
29999.0 1.666666667
29169.9 2.222222222
28366.4 2.777777778
27587.7 3.333333333
26833.0 3.888888889
26101.4 4.444444444
25392.2 5
24704.6 5.555555556
24038.0 6.111111111
23391.5 6.666666667
22764.5 7.222222222
22156.4 7.777777778
21566.6 8.333333333
20994.3 8.888888889
20439.2 9.444444444
19900.5 10
19377.8 10.55555556
18870.6 11.11111111
18378.3 11.66666667
17900.4 12.22222222
17436.5 12.77777778
16986.1 13.33333333
16548.8 13.88888889
16124.2 14.44444444
15711.9 15
15311.4 15.55555556
14922.5 16.11111111
14544.6 16.66666667
14177.6 17.22222222
13821.0 17.77777778
13474.5 18.33333333
13137.8 18.88888889
12810.6 19.44444444
12492.5 20
12183.4 20.55555556
11883.0 21.11111111
11590.8 21.66666667
11306.8 22.22222222
11030.7 22.77777778
10762.2 23.33333333
10501.0 23.88888889
10247.0 24.44444444
10000.0 25
9759.7 25.55555556
9525.9 26.11111111
9298.5 26.66666667
9077.2 27.22222222
8861.8 27.77777778
8652.3 28.33333333
8448.3 28.88888889
8249.8 29.44444444
8056.6 30
7868.5 30.55555556
7685.4 31.11111111
7507.1 31.66666667
7333.5 32.22222222
7164.5 32.77777778
6999.8 33.33333333
6839.5 33.88888889
6683.3 34.44444444
6531.2 35
6383.0 35.55555556
6238.6 36.11111111
6097.9 36.66666667
5960.8 37.22222222
5827.3 37.77777778
5697.1 38.33333333
5570.2 38.88888889
5446.6 39.44444444
5326.0 40
5208.5 40.55555556
5094.0 41.11111111
4982.3 41.66666667
4873.4 42.22222222
4767.2 42.77777778
4663.7 43.33333333
4562.7 43.88888889
4464.1 44.44444444
4368.1 45
4274.3 45.55555556
4182.9 46.11111111
4093.7 46.66666667
4006.7 47.22222222
3921.7 47.77777778
3838.9 48.33333333
3758.0 48.88888889
3679.0 49.44444444
3602.0 50
3526.8 50.55555556
3453.4 51.11111111
3381.7 51.66666667
3311.8 52.22222222
3243.5 52.77777778
3176.8 53.33333333
3111.6 53.88888889
3048.0 54.44444444
2985.9 55
2925.2 55.55555556
2866.0 56.11111111
2808.1 56.66666667
2751.5 57.22222222
2696.3 57.77777778
2642.3 58.33333333
2589.6 58.88888889
2538.1 59.44444444
2487.7 60
2438.5 60.55555556
2390.4 61.11111111
2343.4 61.66666667
2297.4 62.22222222
2252.5 62.77777778
2208.6 63.33333333
2165.7 63.88888889
2123.7 64.44444444
2082.7 65
2042.6 65.55555556
2003.3 66.11111111
1964.9 66.66666667
1927.4 67.22222222
1890.7 67.77777778
1854.8 68.33333333
1819.7 68.88888889
1785.3 69.44444444
1751.7 70
1718.9 70.55555556
1686.7 71.11111111
1655.2 71.66666667
1624.4 72.22222222
1594.3 72.77777778
1564.8 73.33333333
1535.9 73.88888889
1507.7 74.44444444
1480.0 75
1453.1 75.55555556
1426.7 76.11111111
1400.9 76.66666667
1375.6 77.22222222
1350.8 77.77777778
1326.5 78.33333333
1302.7 78.88888889
1279.5 79.44444444
1256.6 80
1234.3 80.55555556
1212.4 81.11111111
1190.9 81.66666667
1169.9 82.22222222
1149.3 82.77777778
1129.1 83.33333333
1109.3 83.88888889
1090.0 84.44444444
1071.0 85
1052.3 85.55555556
1034.1 86.11111111
1016.2 86.66666667
998.7 87.22222222
981.5 87.77777778
964.7 88.33333333
948.2 88.88888889
932.1 89.44444444
916.2 90
900.7 90.55555556
885.4 91.11111111
870.5 91.66666667
855.9 92.22222222
841.5 92.77777778
827.4 93.33333333
813.6 93.88888889
800.1 94.44444444
786.8 95
773.8 95.55555556
761.1 96.11111111
748.6 96.66666667
736.3 97.22222222
724.2 97.77777778
712.4 98.33333333
700.9 98.88888889
689.5 99.44444444
678.4 100
